dir,local_ip,lp,mod,nm,prod,productId,protocol,ref,remote_ip,rp,sigid,sigwid,timestamp,ua,url,company_name,cust_id,last_vdb_timestamp,machine_type,os_arch,os_id,os_name,pkhash,product_name,product_version,sp_major_version,sp_minor_version,trial_copy,vdb_timestamp,vertical_id,city_name,country_name,real_region_name,data_valid
in,124.9.177.201,94444,blk,jjjjjjjjjjjjjjjjjjj,,qhpdt4,,,90.811.108.100,62390,,qhcltr-1,2019-03-01T14:34:51.000Z,,,qhcomp1,4e4789c041c1d9517f0b5648b3366a,"28 February, 2019 (10:52:05)",DESKTOP,64Bit,50040,Windows Server 2012 R2 64 bit,7fb5ef7c0113bd557ada5c0445ec91,qhpname3,qhpver0,0,0,0,"01 March, 2019 (08:08:51)",government,city141,country4,region31,0
in,83.131.177.201,734034,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt6,SMB,,19.131.177.921.,49915,31780,qhcltr4,2019-03-01T14:34:51.000Z,,,qhcomp1,7a30bd86e7d0a29a98244774cb2d2b7a,"28 February, 2019 (10:52:05)",DESKTOP,32Bit,50016,Windows XP Professional,5194279487c0779a605e969aa950d338,qhpname6,qhpver0,3,0,0,"01 March, 2019 (08:08:31)",it,city170,country4,region40,0
in,124.9.177.201,94444,blk,jjjjjjjjjjjjjjjjjjj,,qhpdt4,,,90.811.108.100,62390,,qhcltr-1,2019-03-01T14:34:51.000Z,,,qhcomp1,4e4789c041c1d9517f0b5648b3366a,"28 February, 2019 (10:52:05)",DESKTOP,64Bit,50040,Windows Server 2012 R2 64 bit,7fb5ef7c0113bd557ada5c0445ec91,qhpname3,qhpver0,0,0,0,"01 March, 2019 (08:08:51)",finance,city141,country4,region31,0
in,83.131.177.277,734034,abc,SMB/EternalBlue.UN!SP.31780,UN,qhpdt6,SMB,,19.131.177.921.,49915,31780,qhcltr4,2019-03-01T14:34:51.000Z,,,qhcomp1,7a30bd86e7d0a29a98244774cb2d2b7a,"28 February, 2019 (10:52:05)",DESKTOP,32Bit,50016,Windows XP Professional,5194279487c0779a605e969aa950d338,qhpname6,qhpver0,3,0,0,"01 March, 2019 (08:08:31)",it,city170,country4,region40,0
in,109.9.177.201,94444,blk,jjjjjjjjjjjjjjjjjjj,,qhpdt9,,,10.195.154.98,414811,,qhcltr-1,2019-03-04T06:27:25.000Z,,,qhcomp1,8435d926acff7568edb434b5abdd917a,"02 March, 2019 (08:03:25)",DESKTOP,89,50033,Windows 7 64 bit,df4c090f2a82fc8323f90bb6ee374c19,qhpname7,qhpver0,1,0,0,"03 March, 2019 (08:09:50)",finance,city-1,country4,region-1,0
in,333.11.177.201,94444,blk,jjjjjjjjjjjjjjjjjjj,,qhpdt4,,,35.183.149.203,56824,,qhcltr-1,2019-03-04T06:27:25.000Z,,,qhcomp1,aba630477ff23c2df39e01d7b247d800,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50040,Windows Server 2012 R2 64 bit,ddea43f3e27e4b9647318d0459473d1b,qhpname3,qhpver0,22,0,0,"03 March, 2019 (08:09:50)",defence,city-1,country4,region-1,0
in,127.9.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt6,SMB,,133.9.177.921.,51727,1912,qhcltr0,2019-03-04T06:27:25.000Z,,,qhcomp1,f1b44715f32ebee8fed632ea5620e70c,"02 March, 2019 (08:03:05)",DESKTOP,64Bit,50033,Windows 7 64 bit,6e8ba35b7581ebdb58895178571f25f7,qhpname6,qhpver0,1,0,0,"03 March, 2019 (08:09:34)",defence,city155,country4,region28,0
in,17.10.104.68,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt6,SMB,,101.61.9.147,54399,1912,qhcltr0,2019-03-04T06:27:25.000Z,,,qhcomp1,91b7c3f912b0ce79c854110e51379ddd,"02 March, 2019 (08:03:05)",DESKTOP,32Bit,50032,Windows 7,d035b1267611e4faaed146d73d41d4e8,qhpname6,qhpver0,1,0,0,"03 March, 2019 (08:09:34)",educational,city165,country4,region26,1
in,197.666.92.112,445,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt9,SMB,,227.45.199.56,60930,30735,qhcltr4,2019-03-04T06:27:25.000Z,,,qhcomp1,9aeab53d81709dc221dace365f085d7b,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50033,Windows 7 64 bit,235c63ddef6540a09a6b8cbf15a7efb2,qhpname7,qhpver0,0,0,0,"03 March, 2019 (08:09:50)",defence,city-1,country4,region-1,0
in,114.109.177.201,445,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt6,SMB,,67.133.253.213,3952,30735,qhcltr4,2019-03-04T06:27:25.000Z,,,qhcomp1,242c5c401291c3ad3f6efff2c23c9392,"02 March, 2019 (07:48:05)",LAPTOP,64Bit,50033,Windows 7 64 bit,30048962a5e5693f0592bc079875372b,qhpname6,qhpver0,1,0,0,"03 March, 2019 (07:54:34)",it,city117,country8,region4,1
